Id,FloorId,X,Y,CreationTime
510,1013,,6576,,8891,2013-11-19 14:01:24.500000000
511,1013,,6524,,8465,2013-11-19 14:01:24.500000000
512,1013,,6972,,8567,2013-11-19 14:01:24.533000000
513,1013,,6915,,9152,2013-11-19 14:01:24.547000000
514,1013,,6060,,8777,2013-11-19 14:01:24.547000000
515,1013,,5573,,8679,2013-11-19 14:01:24.563000000
516,1013,,5170,,8589,2013-11-19 14:01:24.563000000
517,1013,,4750,,8506,2013-11-19 14:01:24.563000000
518,1013,,5930,,8347,2013-11-19 14:01:24.563000000
519,1013,,5503,,8290,2013-11-19 14:01:24.580000000
520,1013,,5094,,8206,2013-11-19 14:01:24.580000000
521,1013,,4667,,8139,2013-11-19 14:01:24.580000000
522,1013,,4344,,8056,2013-11-19 14:01:24.593000000
523,1013,,4258,,8360,2013-11-19 14:01:24.593000000
524,1013,,4430,,8276,2013-11-19 14:01:24.593000000
525,1013,,4493,,8644,2013-11-19 14:01:24.593000000
526,1013,,4193,,8589,2013-11-19 14:01:24.593000000
527,1013,,3915,,8371,2013-11-19 14:01:24.640000000
528,1013,,4141,,8014,2013-11-19 14:01:24.640000000
529,1013,,3852,,7960,2013-11-19 14:01:24.657000000
530,1013,,3477,,8195,2013-11-19 14:01:24.657000000
531,1013,,3472,,7778,2013-11-19 14:01:24.657000000
532,1013,,3162,,7999,2013-11-19 14:01:24.657000000
533,1013,,3222,,7598,2013-11-19 14:01:24.657000000
534,1013,,2888,,7808,2013-11-19 14:01:24.657000000
535,1013,,3063,,7484,2013-11-19 14:01:24.657000000
536,1013,,2628,,7539,2013-11-19 14:01:24.720000000
537,1013,,2774,,7189,2013-11-19 14:01:24.720000000
538,1013,,2628,,6994,2013-11-19 14:01:24.720000000
539,1013,,2441,,7093,2013-11-19 14:01:24.720000000
540,1013,,2495,,7307,2013-11-19 14:01:24.720000000
541,1013,,2236,,7256,2013-11-19 14:01:24.720000000
542,1013,,2026,,5674,2013-11-19 14:01:24.737000000
543,1013,,1816,,5752,2013-11-19 14:01:24.750000000
544,1013,,1905,,4559,2013-11-19 14:01:24.750000000
545,1013,,2012,,3712,2013-11-19 14:01:24.767000000
546,1013,,2195,,5418,2013-11-19 14:01:24.767000000
547,1013,,2135,,4834,2013-11-19 14:01:24.767000000
548,1013,,2129,,3285,2013-11-19 14:01:24.767000000
549,1013,,2228,,3027,2013-11-19 14:01:24.767000000
550,1013,,2024,,2870,2013-11-19 14:01:24.767000000
551,1013,,1908,,3162,2013-11-19 14:01:24.780000000
552,1013,,2315,,2824,2013-11-19 14:01:24.797000000
553,1013,,2102,,2667,2013-11-19 14:01:24.797000000
554,1013,,3773,,0750,2013-11-19 14:01:24.797000000
555,1013,,3431,,1007,2013-11-19 14:01:24.797000000
556,1013,,2991,,1360,2013-11-19 14:01:24.813000000
557,1013,,3839,,1141,2013-11-19 14:01:24.813000000
558,1013,,4034,,0959,2013-11-19 14:01:24.813000000
559,1013,,3821,,0465,2013-11-19 14:01:24.813000000
560,1013,,2635,,1706,2013-11-19 14:01:24.813000000
561,1013,,2347,,2113,2013-11-19 14:01:24.813000000
562,1013,,3213,,1642,2013-11-19 14:01:24.813000000
563,1013,,2864,,1956,2013-11-19 14:01:24.827000000
564,1013,,2558,,2360,2013-11-19 14:01:24.827000000
565,1013,,2445,,2562,2013-11-19 14:01:24.827000000
566,1013,,2325,,2411,2013-11-19 14:01:24.827000000
567,1013,,2275,,2232,2013-11-19 14:01:24.827000000
568,1013,,2252,,2530,2013-11-19 14:01:24.827000000
786,1012,,3542,,4125,2013-11-19 19:02:13.263000000
787,1012,,3356,,4125,2013-11-19 19:02:13.607000000
788,1012,,3127,,4110,2013-11-19 19:02:13.607000000
789,1012,,2965,,4116,2013-11-19 19:02:13.607000000
790,1012,,2802,,4099,2013-11-19 19:02:13.620000000
791,1012,,2492,,4099,2013-11-19 19:02:13.620000000
792,1012,,2223,,4110,2013-11-19 19:02:13.620000000
793,1012,,1934,,4043,2013-11-19 19:02:13.620000000
794,1012,,2460,,3909,2013-11-19 19:02:13.620000000
795,1012,,2784,,3887,2013-11-19 19:02:13.620000000
796,1012,,2957,,3865,2013-11-19 19:02:13.637000000
797,1012,,3131,,3876,2013-11-19 19:02:13.637000000
798,1012,,3360,,3837,2013-11-19 19:02:13.637000000
799,1012,,3553,,3870,2013-11-19 19:02:13.637000000
800,1012,,3718,,4143,2013-11-19 19:02:13.637000000
801,1012,,3691,,3648,2013-11-19 19:02:13.637000000
802,1012,,3694,,2501,2013-11-19 19:02:13.653000000
803,1012,,3697,,2696,2013-11-19 19:02:13.653000000
804,1012,,3709,,2946,2013-11-19 19:02:13.653000000
805,1012,,3697,,3183,2013-11-19 19:02:13.653000000
806,1012,,3703,,3428,2013-11-19 19:02:13.653000000
807,1012,,3548,,3635,2013-11-19 19:02:13.653000000
808,1012,,3530,,3415,2013-11-19 19:02:13.653000000
809,1012,,3530,,3204,2013-11-19 19:02:13.653000000
810,1012,,3533,,2975,2013-11-19 19:02:13.653000000
811,1012,,3526,,2751,2013-11-19 19:02:13.667000000
812,1012,,3521,,2510,2013-11-19 19:02:13.667000000
